sweep_type,Te_old_requested_eV,ne_requested_cm-3,DeltaTe_requested_eV,Te_old_grid_eV,Te_new_grid_eV,DeltaTe_actual_eV,ne_grid_cm-3,ti_old,ti_new,ni,ratio_QSS_old,ratio_QSS_new,initial_ratio_error_percent,peak_Halpha_error_percent_abs,peak_Hbeta_error_percent_abs,peak_ratio_error_percent_abs,peak_ratio_error_percent_signed,t_peak_ratio_ns,last_t_ratio_abs_error_gt_1pct_us,last_t_ratio_abs_error_gt_5pct_us,last_t_ratio_abs_error_gt_10pct_us,last_t_Halpha_abs_error_gt_10pct_us,last_t_Hbeta_abs_error_gt_10pct_us,tau_slow_us,tau_fast_ns,M_tau_slow_over_tau_fast
density_sweep,3.0,10000000000000.0,0.6,2.9470517025518106,3.5564803062231287,0.6094286036713181,7196856730011.528,23,27,2,5.065419159610131,4.972905029512047,1.860363902971231,124.29267197332638,57.236473792157696,42.64832468183228,42.64832468183228,75.79772318242726,100.0,100.0,100.0,100.0,100.0,337.9989658860152,10.269363525256177,32913.33148882599
density_sweep,3.0,100000000000000.0,0.6,2.9470517025518106,3.5564803062231287,0.6094286036713181,138949549437313.6,23,27,5,4.073346784956281,3.9466257999809446,3.210869015652498,45.885212638036755,39.06546965614609,32.7018852082645,32.7018852082645,17.177383828087873,36.442199770338476,20.124492094022123,12.514721905886857,14.954954646180463,0.0021497018167919795,10.470691708763308,2.161808617453192,4843.486895291748
density_sweep,3.0,1000000000000000.0,0.6,2.9470517025518106,3.5564803062231287,0.6094286036713181,1000000000000000.0,23,27,7,3.7629887164663343,3.6274889371425845,3.7353602360117497,44.44417164102041,39.24294600451639,21.005262993663802,21.005262993663802,0.2535195535098705,1.8715709851209905,0.5378473408498181,0.0010541990878478093,0.12934446565220545,0.00021215221208918574,0.8327639946235399,1.1855250949036087,702.4431605905813
temperature_sweep,2.0,139000000000000.0,0.3,2.023589647725157,2.329951810515372,0.3063621627902151,138949549437313.6,15,18,5,4.458735182246789,4.289611026092691,3.9426455015467488,52.919010880071625,30.463311755489247,39.247341608837374,39.247341608837374,24.529280737931128,100.0,100.0,100.0,100.0,0.002420773490006453,73.59231938383975,2.4814550587972364,29656.922104206882
temperature_sweep,2.0,139000000000000.0,0.6,2.023589647725157,2.6826957952797255,0.6591061475545685,138949549437313.6,15,21,5,4.458735182246789,4.151211569274449,7.408044804280801,169.6003927369028,68.95254876082872,105.25544027686729,105.25544027686729,23.11515703142751,100.0,100.0,88.80227025231676,94.23495649296875,38.671636435739984,35.26184097172855,2.3527660066334155,14987.398182526827
temperature_sweep,2.0,139000000000000.0,1.0,2.023589647725157,3.088843596477481,1.065253948752324,138949549437313.6,15,24,5,4.458735182246789,4.038243275684757,10.412743310783569,406.9146144553066,117.50360485914129,189.1812330406439,189.1812330406439,21.78255817184708,100.0,74.31220910475923,62.18652300598578,65.99092875967504,36.442199770338476,18.482079356058783,2.2468278091025184,8225.854816814528
temperature_sweep,3.0,139000000000000.0,0.3,2.9470517025518106,3.237457542817644,0.2904058402658336,138949549437313.6,23,25,5,4.073346784956281,4.00550467540568,1.6937218914550418,20.60170642185287,18.067626675327368,14.307240854292228,14.307240854292228,2.892797620592205,38.671636435739984,14.954954646180463,4.839647756388465,8.258581217385244,0.0008821831112155498,15.169576207240812,2.216283892986786,6844.5997623514995
temperature_sweep,3.0,139000000000000.0,0.6,2.9470517025518106,3.5564803062231287,0.6094286036713181,138949549437313.6,23,27,5,4.073346784956281,3.9466257999809446,3.210869015652498,45.885212638036755,39.06546965614609,32.7018852082645,32.7018852082645,17.177383828087873,36.442199770338476,20.124492094022123,12.514721905886857,14.954954646180463,0.0021497018167919795,10.470691708763308,2.161808617453192,4843.486895291748
temperature_sweep,3.0,139000000000000.0,1.0,2.9470517025518106,3.906939937054617,0.9598882345028064,138949549437313.6,23,29,5,4.073346784956281,3.8958131305675856,4.557037220181802,80.92361504968196,63.4379592366795,57.13802612711256,57.13802612711256,16.187100177028825,30.495846129566157,18.964306369232684,13.280339241012575,14.954954646180463,3.0096086654351812,7.447238746161842,2.11535109551145,3520.5686479015667
temperature_sweep,5.0,139000000000000.0,0.3,4.941713361323834,5.17947467923121,0.23776131790737587,138949549437313.6,34,35,5,3.7993458549017447,3.7847022479080943,0.3869156946690939,8.504041297762942,8.085840218243606,4.814538414497077,4.814538414497077,1.9089840169665768,4.049951820423598,0.0,0.0,0.0,0.0,3.126799625026404,2.012949639029944,1553.3422021095537
temperature_sweep,5.0,139000000000000.0,0.6,4.941713361323834,5.428675439323859,0.4869620780000252,138949549437313.6,34,36,5,3.7993458549017447,3.7714648594097646,0.739261706825063,17.64304918858252,16.779741279970324,9.921891404686562,9.921891404686562,1.9089840169665768,5.44991444772461,1.2350670754779411,0.0,0.007049162720911727,0.0007382353586576994,2.759297789057896,1.9998881012529097,1379.7260893393102
temperature_sweep,5.0,139000000000000.0,1.0,4.941713361323834,5.963623316594643,1.021909955270809,138949549437313.6,34,38,5,3.7993458549017447,3.749002663461716,1.3428422425697144,37.99850833609007,36.169960583681856,21.09093585667774,21.09093585667774,2.025770571782472,6.1371341433496935,2.672600820616899,1.2350670754779411,1.7636741035637884,0.0015053948632856738,2.1804821551841167,1.9762494788566682,1103.3435699857107
