Te_requested_eV,ne_requested_cm-3,DeltaTe_requested_eV,Te_old_grid_eV,Te_new_grid_eV,DeltaTe_actual_eV,ne_grid_cm-3,ti_old,ti_new,ni,ratio_QSS_old,ratio_QSS_new,initial_ratio_error_percent_signed,peak_ratio_error_percent_abs,peak_ratio_error_percent_signed,t_peak_ratio_ns,peak_Halpha_error_percent_abs,peak_Hbeta_error_percent_abs,last_t_ratio_abs_error_gt_1pct_us,last_t_ratio_abs_error_gt_5pct_us,last_t_ratio_abs_error_gt_10pct_us,censored_gt_1pct,censored_gt_5pct,censored_gt_10pct,tau_slow_us,tau_fast_ns,M_tau_slow_over_tau_fast,last_t_ratio_abs_error_gt_10pct_display
1.5264179671752334,1000000000000.0,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,1000000000000.0,9,16,0,5.4115899743921245,4.909723285604908,10.2218935690055,75.52530878673089,75.52530878673089,11.874713526527056,1460.6732541389629,1176.0402366206556,1000.0,1000.0,1000.0,True,True,True,46160.32741102935,33.43079190807853,1380772.777921385,>1e+03 us (censored at t_max)
1.5264179671752334,2682695795279.7275,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,2682695795279.7275,9,16,1,5.684311446022294,5.1896868673153485,9.53091374013534,87.8930105328511,87.8930105328511,10.71667648032862,1409.492009049551,931.1081014193996,1000.0,1000.0,1000.0,True,True,True,15134.327233914291,20.102686987980785,752850.9618123673,>1e+03 us (censored at t_max)
1.5264179671752334,7196856730011.528,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,7196856730011.528,9,16,2,5.84074902438391,5.344537740788225,9.284456536038768,105.88005039112907,105.88005039112907,14.135155848353955,1306.7705092478454,623.092620737874,1000.0,1000.0,1000.0,True,True,True,4835.885342555118,11.45845207267731,422036.5291823571,>1e+03 us (censored at t_max)
1.5264179671752334,19306977288832.457,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,19306977288832.457,9,16,3,5.678973905341896,5.166499500848914,9.919180373651152,164.21673893796475,164.21673893796475,89.51664721378302,1115.7037005273662,360.11607947852247,1000.0,1000.0,1000.0,True,True,True,1493.100489656715,7.424357479562251,201108.37789895185,>1e+03 us (censored at t_max)
1.5264179671752334,51794746792312.02,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,51794746792312.02,9,16,4,5.2787548762200425,4.756598261292283,10.97752188106591,217.22598401130332,217.22598401130332,56.429084712625425,817.1866430887686,189.12734027410008,1000.0,1000.0,1000.0,True,True,True,443.43366038682274,4.829498083732983,91817.75263156716,>1e+03 us (censored at t_max)
1.5264179671752334,138949549437313.6,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,138949549437313.6,9,16,5,4.919105429400494,4.398558193794584,11.834496957214014,210.75235038192025,210.75235038192025,29.576166589932505,501.4546568680485,93.54797859056087,758.1576457522118,548.8819609789678,456.3716281924754,False,False,False,127.18925639135684,2.580514536882166,49288.331677073096,456 us
1.5264179671752334,372759372031493.8,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,372759372031493.8,9,16,6,4.711797010275243,4.193562288028099,12.35786395081372,159.34705193046764,159.34705193046764,17.803320164301123,279.2645768572223,91.33113468366146,181.34978041964953,125.37079874409196,104.24040070215536,False,False,False,34.24947698392869,1.8373867421823311,18640.32007940219,104 us
1.5264179671752334,1000000000000000.0,0.6,1.5264179671752334,2.120950887920191,0.5945329207449574,1000000000000000.0,9,16,7,4.6139879906633885,4.09570508480785,12.654302375871646,104.08276127286992,104.08276127286992,12.307798025066658,152.53195090384287,91.40881196021073,41.422324724838894,27.344736797375745,21.710676025372628,False,False,False,8.647716035611227,1.4425880840001322,5994.584408067546,21.7 us
1.599858719606058,1000000000000.0,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,1000000000000.0,10,17,0,5.322600396857396,4.857516249217893,9.574525823035474,71.96613582777317,71.96613582777317,12.577063800210247,1284.8300423001065,1032.5072836912773,1000.0,1000.0,1000.0,True,True,True,33991.289544651394,33.252780146367094,1022208.952004423,>1e+03 us (censored at t_max)
1.599858719606058,2682695795279.7275,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,2682695795279.7275,10,17,1,5.596052139864301,5.138895850966253,8.89600221829948,83.85392576328947,83.85392576328947,11.222773562085072,1239.571525275438,815.4623369737537,1000.0,1000.0,1000.0,True,True,True,11188.69100260836,19.91942111317761,561697.5984912799,>1e+03 us (censored at t_max)
1.599858719606058,7196856730011.528,0.6,1.599858719606058,2.2229964825261948,0.6231377629201367,7196856730011.528,10,17,2,5.752196142943987,5.293642890736691,8.662338236108182,102.5624754764453,102.5624754764453,15.50175117335769,1147.979104104591,544.3024948926463,1000.0,1000.0,1000.0,True,True,True,3591.5894911970463,11.31526513852361,317410.9883620163,>1e+03 us (censored at t_max)
