t_s,Halpha_CR,Hbeta_CR,Halpha_over_Hbeta_CR,Halpha_QSS_new,Hbeta_QSS_new,Halpha_over_Hbeta_QSS_new,err_Halpha_frac,err_Hbeta_frac,err_Halpha_over_Hbeta_frac
0.0,679696113198371.4,166864288527711.8,4.073346784956276,189315803389491.25,50497644409428.81,3.749002663461716,2.5902766754236044,2.304397471984956,0.0865147748908426
1e-13,679712004296057.1,166863913498849.34,4.073451173735921,189315803389491.25,50497644409428.81,3.749002663461716,2.590360615049358,2.3043900453244284,0.08654261930414821
1.0533104453709382e-13,679712852344425.5,166863893617851.16,4.073456741343291,189315803389491.25,50497644409428.81,3.749002663461716,2.5903650945928147,2.3043896516229316,0.0865441043944161
1.1094628943275241e-13,679713745699633.6,166863872689110.06,4.073462606049136,189315803389491.25,50497644409428.81,3.749002663461716,2.5903698134551187,2.304389237173083,0.08654566873202049
1.1686088553466496e-13,679714686787614.8,166863850658075.0,4.0734687837237775,189315803389491.25,50497644409428.81,3.749002663461716,2.5903747844504834,2.3043888008946123,0.0865473165501726
1.2309079138896017e-13,679715678164788.8,166863827467425.75,4.073475291087154,189315803389491.25,50497644409428.81,3.749002663461716,2.5903800210823773,2.304388341652414,0.08654905230870902
1.2965281629896688e-13,679716722525144.2,166863803056939.72,4.0734821457545305,189315803389491.25,50497644409428.81,3.749002663461716,2.5903855375809304,2.304387858253904,0.08655088070628356
1.3656466567946123e-13,679717822707712.4,166863777363353.9,4.073489366284655,189315803389491.25,50497644409428.81,3.749002663461716,2.5903913489424144,2.3043873494462934,0.08655280669321211
1.4384498882876602e-13,679718981704457.2,166863750320219.88,4.0734969722305925,189315803389491.25,50497644409428.81,3.749002663461716,2.59039747097092,2.3043868139137085,0.08655483548503218
1.5151342924760515e-13,679720202668597.6,166863721857753.8,4.073504984193258,189315803389491.25,50497644409428.81,3.749002663461716,2.5904039203223133,2.304386250274228,0.08655697257678296
1.595906776404731e-13,679721488923396.9,166863691902680.06,4.073513423877921,189315803389491.25,50497644409428.81,3.749002663461716,2.590410714550667,2.304385657076781,0.0865592237580759
1.6809852774253655e-13,679722843971440.5,166863660378068.66,4.073522314153779,189315803389491.25,50497644409428.81,3.749002663461716,2.590417872157266,2.3043850327979305,0.08656159512898591
1.7705993512269016e-13,679724271504428.9,166863627203166.44,4.073531679116767,189315803389491.25,50497644409428.81,3.749002663461716,2.590425412642333,2.3043843758385294,0.08656409311680531
1.8649907912142943e-13,679725775413523.5,166863592293221.88,4.073541544155852,189315803389491.25,50497644409428.81,3.749002663461716,2.59043335655968,2.3043836845202517,0.086566724493726
1.9644142809066268e-13,679727359800265.8,166863555559303.28,4.073551936022906,189315803389491.25,50497644409428.81,3.749002663461716,2.590441725574384,2.304382957081992,0.08656949639547902
2.0691380811147902e-13,679729028988114.5,166863516908110.34,4.0735628829064705,189315803389491.25,50497644409428.81,3.749002663461716,2.590450542523729,2.304382191676132,0.08657241634100767
2.1794447537529878e-13,679730787534631.8,166863476241779.22,4.073574414509537,189315803389491.25,50497644409428.81,3.749002663461716,2.590459831481575,2.304381386364684,0.08657549225321723
2.295631924236905e-13,679732640244358.0,166863433457680.44,4.073586562131664,189315803389491.25,50497644409428.81,3.749002663461716,2.5904696178263653,2.304380539115287,0.08657873248087704
2.4180130845257183e-13,679734592182412.9,166863388448210.34,4.07359935875558,189315803389491.25,50497644409428.81,3.749002663461716,2.5904799283129702,2.3043796477970755,0.0865821458217212
2.54691843897454e-13,679736648688873.2,166863341100575.8,4.073612839138624,189315803389491.25,50497644409428.81,3.749002663461716,2.590490791148632,2.3043787101764184,0.0865857415468392
2.682695795279727e-13,679738815393967.1,166863291296571.88,4.073627039909239,189315803389491.25,50497644409428.81,3.749002663461716,2.590502236073224,2.304377723912514,0.08658952942641394
2.8257115029208324e-13,679741098234136.4,166863238912352.28,4.073641999668854,189315803389491.25,50497644409428.81,3.749002663461716,2.590514294444096,2.304376686552847,0.0865935197568986
2.9763514416313133e-13,679743503469021.0,166863183818194.2,4.0736577590994285,189315803389491.25,50497644409428.81,3.749002663461716,2.590526999325789,2.304375595528528,0.08659772338970162
3.135022062565112e-13,679746037699419.5,166863125878255.16,4.073674361077044,189315803389491.25,50497644409428.81,3.749002663461716,2.5905403855849025,2.304374448149483,0.08660215176148636
3.3021514849681755e-13,679748707886285.6,166863064950324.0,4.073691850791848,189315803389491.25,50497644409428.81,3.749002663461716,2.5905544899904425,2.304373241599517,0.08660681692616441
3.478190651314134e-13,679751521370827.5,166863000885565.12,4.07371027587477,189315803389491.25,50497644409428.81,3.749002663461716,2.5905693513199854,2.3043719729312526,0.08661173158869642
