observable,DeltaTe_nominal_eV,predictor,logR2,actual_over_pred_median,actual_over_pred_p10,actual_over_pred_p90
Halpha,0.3,linear,0.9934149126268218,1.0297754426056058,1.0075619286559463,1.148518217869485
Halpha,0.3,exp,0.9827689779538935,0.9361877547079007,0.7912146454879705,0.9720377493528087
Halpha,0.6,linear,0.9818124267262223,1.0561412884890182,1.0135748202496777,1.268305897683271
Halpha,0.6,exp,0.9217717957965397,0.8648437012535224,0.5851067146774727,0.9427213772537631
Halpha,1.0,linear,0.9600612973282718,1.0967408792126485,1.0233323813248525,1.4133111668054488
Halpha,1.0,exp,0.7194896427592112,0.7862165946819579,0.37693050689774066,0.9108821714657598
Halpha,2.0,linear,0.901303031805469,1.1901943645921766,1.0527851551550398,1.7334909870944848
Halpha,2.0,exp,-0.6675864779664957,0.569169356056533,0.08697143823637195,0.8098500881043321
Halpha,3.0,linear,0.8297867419495433,1.291100060129887,1.0860506077543728,2.026692381987635
Halpha,3.0,exp,-4.244898440309126,0.32552340474167685,0.013904375571796584,0.6914843469993947
Hbeta,0.3,linear,0.9954718527487076,1.0283586457643223,1.0094919174001777,1.10754884690086
Hbeta,0.3,exp,0.984089274165053,0.9416199085216979,0.8180287926095186,0.9739136028647395
Hbeta,0.6,linear,0.9870687721555303,1.0553543190490478,1.0166215386704776,1.1965517271545618
Hbeta,0.6,exp,0.9313995594615743,0.8770921074299933,0.641013039783511,0.9464035723924791
Hbeta,1.0,linear,0.9698126292881354,1.0914794156260907,1.02952922725696,1.297910588142075
Hbeta,1.0,exp,0.7602674320377761,0.8050404091806442,0.4536348549768502,0.9168636189098116
Hbeta,2.0,linear,0.9173317616849589,1.1811631324766125,1.0641752026702433,1.533823206125128
Hbeta,2.0,exp,-0.38104611895597107,0.603046450933522,0.14601090666930758,0.8213701387948712
Hbeta,3.0,linear,0.8465134905243252,1.2721033451866486,1.1092092747518625,1.746474894576398
Hbeta,3.0,exp,-3.351410288900383,0.3726952746868728,0.035426891448123686,0.710437345276069
Halpha_over_Hbeta,0.3,linear,0.9527719932727391,0.8804260945977609,0.8232111255680532,1.0096671343483743
Halpha_over_Hbeta,0.3,exp,0.9506815342277039,0.8663764356017734,0.768947342122604,1.0103695147538965
Halpha_over_Hbeta,0.6,linear,0.9447895007952744,0.7760446931318936,0.6906549269498083,0.9334625724455773
Halpha_over_Hbeta,0.6,exp,0.9359832496838945,0.7573307230259783,0.6074000581581169,0.9323562525047978
Halpha_over_Hbeta,1.0,linear,0.8778751020005896,0.6636069533393298,0.564734772673355,0.8535729860769742
Halpha_over_Hbeta,1.0,exp,0.8539898652537413,0.6335194270748092,0.4518743075490702,0.8478975593374743
Halpha_over_Hbeta,2.0,linear,0.6968653618762111,0.47118476699440903,0.373658686335346,0.7112180660527059
Halpha_over_Hbeta,2.0,exp,0.585359433487028,0.427318184873608,0.24035360666864863,0.7094829434196237
Halpha_over_Hbeta,3.0,linear,0.40594070727134146,0.35246297827799233,0.26792601801562876,0.5653812842817499
Halpha_over_Hbeta,3.0,exp,0.11197002394033329,0.2926480907922436,0.13612148325402085,0.5493698764680044
