t_s,Halpha_CR,Hbeta_CR,Halpha_over_Hbeta_CR,Halpha_QSS_new,Hbeta_QSS_new,Halpha_over_Hbeta_QSS_new,err_Halpha_frac,err_Hbeta_frac,err_Halpha_over_Hbeta_frac
0.0,679696113198372.2,166864288527711.88,4.07334678495628,473554583914517.4,119989735007763.8,3.9466257999809446,0.43530679732806904,0.39065469656146096,0.03210869015652498
1e-13,679697207752311.8,166863460312449.56,4.073373562310095,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353091086855697,0.3906477941771674,0.03211547502926727
1.0533104453709382e-13,679697266298542.5,166863416183739.75,4.073374990417921,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353092323170004,0.3906474264064592,0.03211583688465945
1.1094628943275241e-13,679697327987221.2,166863369705063.25,4.0733764947250535,473554583914517.4,119989735007763.8,3.9466257999809446,0.435309362584304,0.39064703905102005,0.03211621804750803
1.1686088553466496e-13,679697392988202.1,166863320751413.12,4.073378079301145,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353094998461596,0.39064663106903624,0.032116619548985995
1.2309079138896017e-13,679697461480648.2,166863269191146.5,4.073379748433647,473554583914517.4,119989735007763.8,3.9466257999809446,0.43530964448090376,0.39064620136339,0.03211704247545183
1.2965281629896688e-13,679697533653555.5,166863214885633.6,4.0733815066395165,473554583914517.4,119989735007763.8,3.9466257999809446,0.43530979688763727,0.3906457487787343,0.03211748797141696
1.3656466567946123e-13,679697609706308.2,166863157688888.3,4.0733833586775665,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353099574873977,0.3906452720984143,0.03211795724267395
1.4384498882876602e-13,679697689849265.5,166863097447179.53,4.0733853095614725,473554583914517.4,119989735007763.8,3.9466257999809446,0.435310126724398,0.39064477004122766,0.032118451559592975
1.5151342924760515e-13,679697774304385.6,166863033998622.0,4.073387364573502,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531030506734514,0.3906442412580153,0.03211897226060037
1.595906776404731e-13,679697863305884.9,166862967172745.6,4.073389529278985,473554583914517.4,119989735007763.8,3.9466257999809446,0.435310493010831,0.39064368432807123,0.0321195207558447
1.6809852774253655e-13,679697957100938.0,166862896790042.06,4.0733918095415715,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353106910768118,0.39064309775536543,0.032120098531063915
1.7705993512269016e-13,679698055950420.1,166862822661488.3,4.07339421153933,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531089981617466,0.3906424799645707,0.03212070715166282
1.8649907912142943e-13,679698160129693.8,166862744588044.1,4.073396741781718,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531111981039955,0.39064182929687635,0.032121348267014585
1.9644142809066268e-13,679698269929444.5,166862662360124.03,4.073399407127495,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353113516733241,0.3906411440055883,0.03212202361499843
2.0691380811147902e-13,679698385656567.9,166862575757041.34,4.073402214803613,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353115960530161,0.39064042225149254,0.03212273502678676
2.1794447537529878e-13,679698507635110.2,166862484546423.2,4.07340517242514,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353118536337608,0.3906396620979832,0.032123484431893085
2.295631924236905e-13,679698636207269.0,166862388483594.56,4.073408288016296,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353121251381726,0.39063886150592736,0.03212427386350217
2.4180130845257183e-13,679698771734455.9,166862287310930.8,4.073411570032638,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531241132944065,0.39063801832826933,0.03212510546409178
2.54691843897454e-13,679698914598425.5,166862180757175.44,4.07341502738449,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531271301371205,0.3906371303043449,0.032125981491368534
2.682695795279727e-13,679699065202476.8,166862068536722.7,4.073418669461657,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353130310426286,0.3906361950539025,0.03212690432453072
2.8257115029208324e-13,679699223972730.8,166861950348862.56,4.073422506159529,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353133663160256,0.3906352100708111,0.03212787647088225
2.9763514416313133e-13,679699391359489.9,166861825876985.88,4.073426547906642,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531371978480154,0.3906341727164351,0.03212890057281586
3.135022062565112e-13,679699567838685.5,166861694787748.25,4.073430805693771,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353140924539755,0.390633080212667,0.032129979415185236
3.3021514849681755e-13,679699753913419.1,166861556730189.72,4.073435291104672,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353144853859414,0.39063192963459026,0.0321311159330939
3.478190651314134e-13,679699950115606.0,166861411334808.3,4.073440016348564,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531489970393883,0.39063071790275844,0.03213231322012633
3.6636145440207235e-13,679700157007724.2,166861258212585.25,4.073444994294421,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353153365957466,0.39062944177507086,0.03213357453703591
3.8589234670298993e-13,679700375184683.8,166861096953958.22,4.073450238507258,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353157973176294,0.39062809783821645,0.03213490332093948
4.064644395709628e-13,679700605275816.9,166860927127741.25,4.073455763286444,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531628319854143,0.3906266824986713,0.03213630319502589
4.2813323987193956e-13,679700847947006.0,166860748279987.0,4.073461583706251,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531679564461917,0.39062519197321727,0.03213777797882918
4.5095721356761535e-13,679701103902953.2,166860559932789.12,4.073467715658719,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353173361439744,0.3906236222789608,0.032139331699090064
4.749979434661403e-13,679701373889607.1,166860361583021.06,4.073474175899007,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353179062718182,0.3906219692228219,0.03214096860124799
5.003202953825999e-13,679701658696755.5,166860152701007.8,4.073480982093397,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353185076959371,0.39062022839046456,0.03214269316160267
5.269925931575657e-13,679701959160799.1,166859932729126.5,4.073488152870103,473554583914517.4,119989735007763.8,3.9466257999809446,0.43531914218254925,0.390618395134634,0.03214451010019
5.550868030059811e-13,679702276167718.4,166859701080332.38,4.073495707873076,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353198116025697,0.3906164645628721,0.03214642439441407
5.846787276937602e-13,679702610656250.6,166859457136605.12,4.073503667819015,473554583914517.4,119989735007763.8,3.9466257999809446,0.43532051793831983,0.390614431524569,0.03214844129349248
6.158482110660255e-13,679702963621290.6,166859200247311.47,4.073512054557761,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353212632907079,0.39061229059731684,0.032150566333760094
6.486793534788508e-13,679703336117537.5,166858929727478.38,4.073520891136363,473554583914517.4,119989735007763.8,3.9466257999809446,0.43532204988693046,0.3906100360725187,0.03215280535490119
6.832607387157405e-13,679703729263401.4,166858644855972.16,4.073530201866994,473554583914517.4,119989735007763.8,3.9466257999809446,0.43532288008872183,0.3906076619402131,0.032155164517158476
7.196856730011528e-13,679704144245195.1,166858344873576.94,4.0735400123990475,473554583914517.4,119989735007763.8,3.9466257999809446,0.43532375640120585,0.3906051618730599,0.03215765031960102
7.580524367559246e-13,679704582321633.5,166858028980966.88,4.073550349795669,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353246814823966,0.39060252920944044,0.032160269619515756
7.984645497739079e-13,679705044828661.2,166857696336564.5,4.073561242615055,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353256581533939,0.3905997569356093,0.03216302965300717
8.410310505352605e-13,679705533184641.2,166857346054278.56,4.073572720996855,473554583914517.4,119989735007763.8,3.9466257999809446,0.435326689409339,0.39059683766684083,0.03216593805688974
8.858667904100832e-13,679706048895929.0,166856977201112.62,4.07358481675405,473554583914517.4,119989735007763.8,3.9466257999809446,0.43532777843118625,0.39059376362749976,0.03216900289196861
9.330927435461682e-13,679706593562868.0,166856588794636.1,4.073597563470735,473554583914517.4,119989735007763.8,3.9466257999809446,0.4353289285983634,0.3905905266299641,0.03217223266781556
