DeltaTe_nominal_eV,DeltaTe_actual_eV,Te_old_grid_eV,Te_new_grid_eV,ne_grid_cm-3,ti_old,ti_new,ni,Halpha_QSS_old,Halpha_QSS_new,Hbeta_QSS_old,Hbeta_QSS_new,ratio_QSS_old,ratio_QSS_new,initial_err_Halpha_frac,initial_err_Hbeta_frac,initial_err_ratio_frac,peak_err_Halpha_frac,t_peak_Halpha_s,peak_err_Hbeta_frac,t_peak_Hbeta_s,peak_err_ratio_frac,t_peak_ratio_s,duration_abs_ratio_err_gt_1pct_s,duration_abs_ratio_err_gt_5pct_s,duration_abs_ratio_err_gt_10pct_s,duration_abs_Halpha_err_gt_10pct_s,duration_abs_Hbeta_err_gt_10pct_s,eig_decay_times_top5_s
0.3,0.2904058402658336,2.9470517025518106,3.237457542817644,138949549437313.6,23,25,5,679696113198372.4,566095640843149.9,166864288527711.84,141329417069227.44,4.073346784956281,4.00550467540568,0.20067363915048797,0.18067626675327367,0.01693721891455042,0.206019248058174,5.550868030059811e-10,0.18067626675327367,0.0,0.1430800363008949,2.777211932429355e-09,3.92631340170684e-05,1.5415936928422735e-05,4.9173296457790155e-06,8.265958738801796e-06,8.858667904100832e-10,1.516958e-05;2.216284e-09;1.827097e-09;6.401977e-10;2.407337e-10
0.6,0.6094286036713181,2.9470517025518106,3.5564803062231287,138949549437313.6,23,27,5,679696113198372.4,473554583914517.4,166864288527711.84,119989735007763.8,4.073346784956281,3.9466257999809446,0.43530679732806904,0.39065469656146096,0.03210869015652498,0.45885546472677724,8.410310505352605e-10,0.39065469656146096,0.0,0.3270190227558802,1.7103410003378377e-08,3.727593720314938e-05,1.9987196386572525e-05,1.2524037545350693e-05,1.4635701180190798e-05,2.142037490358383e-09,1.047069e-05;2.161809e-09;1.793792e-09;6.207328e-10;2.375779e-10
1.0,0.9598882345028064,2.9470517025518106,3.906939937054617,138949549437313.6,23,29,5,679696113198372.4,397748533636356.06,166864288527711.84,102096409736780.06,4.073346784956281,3.8958131305675856,0.7088588787100053,0.634379592366795,0.04557037220181802,0.8092369393779074,1.623776739188721e-08,0.634379592366795,0.0,0.5713809508507638,1.623776739188721e-08,3.0283286655749455e-05,1.8975598765218505e-05,1.319169956473569e-05,1.5415936928422735e-05,3.081213588714002e-06,7.447239e-06;2.115351e-09;1.758944e-09;6.035436e-10;2.351193e-10
2.0,1.9946616587720234,2.9470517025518106,4.941713361323834,138949549437313.6,23,34,5,679696113198372.4,261252984721983.03,166864288527711.84,68762622488007.04,4.073346784956281,3.7993458549017447,1.601677886749057,1.4266713875959989,0.07211792253685799,2.5438698662681625,1.5415936928422702e-08,1.4266713875959989,0.0,1.385746708938289,1.5415936928422702e-08,1.8975598765218505e-05,1.319169956473569e-05,1.0174634027476042e-05,1.1288378916846883e-05,5.455594781168514e-06,3.561649e-06;2.026960e-09;1.670232e-09;5.694082e-10;2.317032e-10
3.0,3.0165716140428325,2.9470517025518106,5.963623316594643,138949549437313.6,23,38,5,679696113198372.4,189315803389491.25,166864288527711.84,50497644409428.81,4.073346784956281,3.749002663461716,2.5902766754236044,2.304397471984956,0.0865147748908426,5.260750496703914,1.389495494373136e-08,2.304397471984956,0.0,2.091156685413396,1.4635701180190798e-08,1.319169956473569e-05,9.659672580093823e-06,7.847599703514607e-06,8.265958738801796e-06,4.9173296457790155e-06,2.180482e-06;1.976249e-09;1.603830e-09;5.500160e-10;2.314551e-10
