Te_old_grid_eV,Te_new_grid_eV,ne_grid_cm-3,DeltaTe_actual_eV,peak_ratio_error_percent_abs,last_t_ratio_abs_error_gt_10pct_us,censored_gt_10pct,tau_fast_ns,tau_slow_us,M_tau_slow_over_tau_fast
1.5264179671752334,2.120950887920191,1000000000000.0,0.5945329207449574,75.52530878673089,1000.0,True,33.43079190807853,46160.32741102935,1380772.777921385
1.5264179671752334,2.120950887920191,2682695795279.7275,0.5945329207449574,87.8930105328511,1000.0,True,20.102686987980785,15134.327233914291,752850.9618123673
1.5264179671752334,2.120950887920191,7196856730011.528,0.5945329207449574,105.88005039112907,1000.0,True,11.45845207267731,4835.885342555118,422036.5291823571
1.5264179671752334,2.120950887920191,19306977288832.457,0.5945329207449574,164.21673893796475,1000.0,True,7.424357479562251,1493.100489656715,201108.37789895185
1.5264179671752334,2.120950887920191,51794746792312.02,0.5945329207449574,217.22598401130332,1000.0,True,4.829498083732983,443.43366038682274,91817.75263156716
1.5264179671752334,2.120950887920191,138949549437313.6,0.5945329207449574,210.75235038192025,456.3716281924754,False,2.580514536882166,127.18925639135684,49288.331677073096
1.5264179671752334,2.120950887920191,372759372031493.8,0.5945329207449574,159.34705193046764,104.24040070215536,False,1.8373867421823311,34.24947698392869,18640.32007940219
1.5264179671752334,2.120950887920191,1000000000000000.0,0.5945329207449574,104.08276127286992,21.710676025372628,False,1.4425880840001322,8.647716035611227,5994.584408067546
1.599858719606058,2.2229964825261948,1000000000000.0,0.6231377629201367,71.96613582777317,1000.0,True,33.252780146367094,33991.289544651394,1022208.952004423
1.599858719606058,2.2229964825261948,2682695795279.7275,0.6231377629201367,83.85392576328947,1000.0,True,19.91942111317761,11188.69100260836,561697.5984912799
1.599858719606058,2.2229964825261948,7196856730011.528,0.6231377629201367,102.5624754764453,1000.0,True,11.31526513852361,3591.5894911970463,317410.9883620163
1.599858719606058,2.2229964825261948,19306977288832.457,0.6231377629201367,160.32403287984818,1000.0,True,7.354301342675066,1114.714883570313,151573.18576299254
1.599858719606058,2.2229964825261948,51794746792312.02,0.6231377629201367,207.45819269535156,1000.0,True,4.754354541663807,333.1106295581392,70064.32243094048
1.599858719606058,2.2229964825261948,138949549437313.6,0.6231377629201367,195.80885711672244,330.3985069871855,False,2.529628515241355,96.165822270469,38015.78836222666
1.599858719606058,2.2229964825261948,372759372031493.8,0.6231377629201367,144.02515750284908,75.46672630843871,False,1.8210890893681289,26.072173508848874,14316.802874204936
1.599858719606058,2.2229964825261948,1000000000000000.0,0.6231377629201367,91.7338929055868,15.71783717773161,False,1.416715366419682,6.646058869761605,4691.174407571721
1.676832936811008,2.329951810515372,1000000000000.0,0.6531188737043641,68.48562714119552,1000.0,True,33.09028513255663,25358.298519091073,766336.6579498505
1.676832936811008,2.329951810515372,2682695795279.7275,0.6531188737043641,79.9214076261566,1000.0,True,19.743775184988145,8378.948888213816,424384.3342880348
1.676832936811008,2.329951810515372,7196856730011.528,0.6531188737043641,99.40825337741342,1000.0,True,11.179774805402596,2701.582934736992,241649.13710350048
1.676832936811008,2.329951810515372,19306977288832.457,0.6531188737043641,156.06511658204832,1000.0,True,7.286079280274924,842.7149545891934,115660.9641718578
1.676832936811008,2.329951810515372,51794746792312.02,0.6531188737043641,197.51148686238895,954.9044557518076,False,4.681496940638104,253.33567962950724,54114.24654161511
1.676832936811008,2.329951810515372,138949549437313.6,0.6531188737043641,181.491422110675,250.49415421745024,False,2.4814550587972364,73.59231938383975,29656.92210420688
1.676832936811008,2.329951810515372,372759372031493.8,0.6531188737043641,130.09569231984338,54.635503522148646,False,1.8048386461967991,20.084320934533913,11128.04237478851
1.676832936811008,2.329951810515372,1000000000000000.0,0.6531188737043641,80.95645697837172,11.37921293915314,False,1.391269077479672,5.167631527804107,3714.3293209430312
1.7575106248547918,2.329951810515372,1000000000000.0,0.5724411856605802,58.556451217045016,1000.0,True,33.09028513255663,25358.298519091073,766336.6579498505
1.7575106248547918,2.329951810515372,2682695795279.7275,0.5724411856605802,67.93085389569524,1000.0,True,19.743775184988145,8378.948888213816,424384.3342880348
1.7575106248547918,2.329951810515372,7196856730011.528,0.5724411856605802,87.30370757773805,1000.0,True,11.179774805402596,2701.582934736992,241649.13710350048
1.7575106248547918,2.329951810515372,19306977288832.457,0.5724411856605802,134.60756765790367,1000.0,True,7.286079280274924,842.7149545891934,115660.9641718578
1.7575106248547918,2.329951810515372,51794746792312.02,0.5724411856605802,158.60098771295367,831.4567805772047,False,4.681496940638104,253.33567962950724,54114.24654161511
1.7575106248547918,2.329951810515372,138949549437313.6,0.5724411856605802,134.3477910858993,208.275063019051,False,2.4814550587972364,73.59231938383975,29656.92210420688
1.7575106248547918,2.329951810515372,372759372031493.8,0.5724411856605802,89.9661497112759,47.5723613918789,False,1.8048386461967991,20.084320934533913,11128.04237478851
1.7575106248547918,2.329951810515372,1000000000000000.0,0.5724411856605802,53.514651995783105,9.034660211810516,False,1.391269077479672,5.167631527804107,3714.3293209430312
1.842069969326716,2.442053094548651,1000000000000.0,0.5999831252219352,55.433067042107794,1000.0,True,32.942825457805746,19154.417648432813,581444.2866464634
1.842069969326716,2.442053094548651,2682695795279.7275,0.5999831252219352,64.5389422148839,1000.0,True,19.57575578207709,6352.396917285685,324503.27783010696
1.842069969326716,2.442053094548651,7196856730011.528,0.5999831252219352,84.64636799828236,1000.0,True,11.051774242343388,2056.9170147082664,186116.4523997844
1.842069969326716,2.442053094548651,19306977288832.457,0.5999831252219352,129.70279072965897,1000.0,True,7.219656451401053,644.7445500326531,89304.04851986184
1.842069969326716,2.442053094548651,51794746792312.02,0.5999831252219352,149.51326605749446,630.3753153071268,False,4.6109019539621325,194.94050504095333,42278.17181700028
1.842069969326716,2.442053094548651,138949549437313.6,0.5999831252219352,123.84157352602024,157.90533144741727,False,2.4359491406748908,56.96899631550063,23386.77575990651
1.842069969326716,2.442053094548651,372759372031493.8,0.5999831252219352,81.39441277427824,34.440872759738234,False,1.7886523217339454,15.647600462907988,8748.262741044597
1.842069969326716,2.442053094548651,1000000000000000.0,0.5999831252219352,47.60826610692332,6.540805914998247,False,1.3662828866188694,4.062884403977682,2973.677299019731
1.93069772888325,2.5595479226995357,1000000000000.0,0.6288501938162856,52.43939943602028,1000.0,True,32.80996529909029,14640.943363406972,446234.6494408794
